"CommonName","Scientific.name","Category","BOCC.category","Schedule1","Annex2","group","protection"
"red-flanked bluetail","Tarsiger cyanurus","AE",NA,0,NA,"bird","None"
"taiga flycatcher","Ficedula albicilla","A",NA,0,NA,"bird","None"
"red-breasted flycatcher","Ficedula parva","A",NA,0,NA,"bird","None"
"pied flycatcher","Ficedula hypoleuca","A","Amber",0,NA,"bird","AmberBOCC"
"collared flycatcher","Ficedula albicollis","A",NA,0,NA,"bird","None"
"black redstart","Phoenicurus ochruros","AF","Amber",1,NA,"bird","Schedule1"
"redstart","Phoenicurus phoenicurus","AF","Amber",0,NA,"bird","AmberBOCC"
"moussier's redstart","Phoenicurus moussieri","A",NA,0,NA,"bird","None"
"rock thrush","Monticola saxatilis","A",NA,0,NA,"bird","None"
"blue rock thrush","Monticola solitarius","AE",NA,0,NA,"bird","None"
"whinchat","Saxicola rubetra","AF","Red",0,NA,"bird","RedBOCC"
"stonechat","Saxicola rubicola","A",NA,0,NA,"bird","None"
"siberian stonechat","Saxicola maurus","A",NA,0,NA,"bird","None"
"amur stonechat","Saxicola stejnegeri","A",NA,0,NA,"bird","None"
"wheatear","Oenanthe oenanthe","AF","Amber",0,NA,"bird","AmberBOCC"
"isabelline wheatear","Oenanthe isabellina","A",NA,0,NA,"bird","None"
"desert wheatear","Oenanthe deserti","A",NA,0,NA,"bird","None"
"western black-eared wheatear","Oenanthe hispanica","A",NA,0,NA,"bird","None"
"eastern black-eared wheatear","Oenanthe melanoleuca","A",NA,0,NA,"bird","None"
"pied wheatear","Oenanthe pleschanka","A",NA,0,NA,"bird","None"
"white-crowned black wheatear","Oenanthe leucopyga","A",NA,0,NA,"bird","None"
"dipper","Cinclus cinclus","AF","Amber",0,NA,"bird","AmberBOCC"
"rock sparrow","Petronia petronia","A",NA,0,NA,"bird","None"
"tree sparrow","Passer montanus","AF","Red",0,NA,"bird","RedBOCC"
"spanish sparrow","Passer hispaniolensis","A",NA,0,NA,"bird","None"
"house sparrow","Passer domesticus","AF","Red",0,NA,"bird","RedBOCC"
"alpine accentor","Prunella collaris","A",NA,0,NA,"bird","None"
"siberian accentor","Prunella montanella","A",NA,0,NA,"bird","None"
"dunnock","Prunella modularis","AF","Amber",0,NA,"bird","AmberBOCC"
"yellow wagtail","Motacilla flava","AF","Red",0,NA,"bird","RedBOCC"
"eastern yellow wagtail","Motacilla tschutschensis","A",NA,0,NA,"bird","None"
"citrine wagtail","Motacilla citreola","A",NA,0,NA,"bird","None"
"grey wagtail","Motacilla cinerea","AF","Amber",0,NA,"bird","AmberBOCC"
"pied wagtail","Motacilla alba","AF",NA,0,NA,"bird","None"
"richard's pipit","Anthus richardi","AF",NA,0,NA,"bird","None"
"blyth's pipit","Anthus godlewskii","A",NA,0,NA,"bird","None"
"tawny pipit","Anthus campestris","A",NA,0,NA,"bird","None"
"meadow pipit","Anthus pratensis","AF","Amber",0,NA,"bird","AmberBOCC"
"tree pipit","Anthus trivialis","A","Red",0,NA,"bird","RedBOCC"
"olive-backed pipit","Anthus hodgsoni","A",NA,0,NA,"bird","None"
"pechora pipit","Anthus gustavi","A",NA,0,NA,"bird","None"
"red-throated pipit","Anthus cervinus","A",NA,0,NA,"bird","None"
"buff-bellied pipit","Anthus rubescens","A",NA,0,NA,"bird","None"
"water pipit","Anthus spinoletta","AF","Amber",0,NA,"bird","AmberBOCC"
"rock pipit","Anthus petrosus","AF",NA,0,NA,"bird","None"
"chaffinch","Fringilla coelebs","AEF",NA,0,NA,"bird","None"
"brambling","Fringilla montifringilla","AF",NA,1,NA,"bird","Schedule1"
"evening grosbeak","Hesperiphona vespertina","A",NA,0,NA,"bird","None"
"hawfinch","Coccothraustes coccothraustes","AF","Red",0,NA,"bird","RedBOCC"
"pine grosbeak","Pinicola enucleator","AEF",NA,0,NA,"bird","None"
"bullfinch","Pyrrhula pyrrhula","AF","Amber",0,NA,"bird","AmberBOCC"
"trumpeter finch","Bucanetes githagineus","AE",NA,0,NA,"bird","None"
"common rosefinch","Carpodacus erythrinus","A",NA,1,NA,"bird","Schedule1"
"greenfinch","Chloris chloris","AEF","Red",0,NA,"bird","RedBOCC"
