"CommonName","Scientific.name","Category","BOCC.category","Schedule1","Annex2","group","protection"
"pacific golden plover","Pluvialis fulva","A",NA,0,NA,"bird","None"
"american golden plover","Pluvialis dominica","A",NA,0,NA,"bird","None"
"grey plover","Pluvialis squatarola","AF","Amber",0,NA,"bird","AmberBOCC"
"ringed plover","Charadrius hiaticula","AF","Red",0,NA,"bird","RedBOCC"
"semipalmated plover","Charadrius semipalmatus","A",NA,0,NA,"bird","None"
"little ringed plover","Charadrius dubius","A",NA,1,NA,"bird","Schedule1"
"killdeer","Charadrius vociferus","A",NA,0,NA,"bird","None"
"kentish plover","Charadrius alexandrinus","A",NA,1,NA,"bird","Schedule1"
"lesser sand plover","Charadrius mongolus","A",NA,0,NA,"bird","None"
"greater sand plover","Charadrius leschenaultii","A",NA,0,NA,"bird","None"
"caspian plover","Charadrius asiaticus","A",NA,0,NA,"bird","None"
"dotterel","Charadrius morinellus","A","Red",1,NA,"bird","Schedule1"
"upland sandpiper","Bartramia longicauda","A",NA,0,NA,"bird","None"
"whimbrel","Numenius phaeopus","AF","Red",1,NA,"bird","Schedule1"
"hudsonian whimbrel","Numenius hudsonicus","A",NA,0,NA,"bird","None"
"little whimbrel","Numenius minutus","A",NA,0,NA,"bird","None"
"eskimo curlew","Numenius borealis","B",NA,0,NA,"bird","None"
"curlew","Numenius arquata","AF","Red",0,NA,"bird","RedBOCC"
"bar-tailed godwit","Limosa lapponica","AF","Amber",0,NA,"bird","AmberBOCC"
"black-tailed godwit","Limosa limosa","AF","Red",1,NA,"bird","Schedule1"
"hudsonian godwit","Limosa haemastica","A",NA,0,NA,"bird","None"
"turnstone","Arenaria interpres","AF","Amber",0,NA,"bird","AmberBOCC"
"great knot","Calidris tenuirostris","A",NA,0,NA,"bird","None"
"knot","Calidris canutus","AF","Amber",0,NA,"bird","AmberBOCC"
"ruff","Calidris pugnax","AF","Red",1,NA,"bird","Schedule1"
"broad-billed sandpiper","Calidris falcinellus","A",NA,0,NA,"bird","None"
"sharp-tailed sandpiper","Calidris acuminata","A",NA,0,NA,"bird","None"
"stilt sandpiper","Calidris himantopus","A",NA,0,NA,"bird","None"
"curlew sandpiper","Calidris ferruginea","A","Amber",0,NA,"bird","AmberBOCC"
"temminck's stint","Calidris temminckii","A",NA,1,NA,"bird","Schedule1"
"long-toed stint","Calidris subminuta","A",NA,0,NA,"bird","None"
"red-necked stint","Calidris ruficollis","A",NA,0,NA,"bird","None"
"sanderling","Calidris alba","AF","Amber",0,NA,"bird","AmberBOCC"
"dunlin","Calidris alpina","AF","Red",0,NA,"bird","RedBOCC"
"purple sandpiper","Calidris maritima","A","Red",1,NA,"bird","Schedule1"
"baird's sandpiper","Calidris bairdii","A",NA,0,NA,"bird","None"
"little stint","Calidris minuta","A",NA,0,NA,"bird","None"
"least sandpiper","Calidris minutilla","A",NA,0,NA,"bird","None"
"white-rumped sandpiper","Calidris fuscicollis","A",NA,0,NA,"bird","None"
"buff-breasted sandpiper","Calidris subruficollis","A",NA,0,NA,"bird","None"
"pectoral sandpiper","Calidris melanotos","A",NA,0,NA,"bird","None"
"semipalmated sandpiper","Calidris pusilla","A",NA,0,NA,"bird","None"
"western sandpiper","Calidris mauri","A",NA,0,NA,"bird","None"
"long-billed dowitcher","Limnodromus scolopaceus","A",NA,0,NA,"bird","None"
"short-billed dowitcher","Limnodromus griseus","A",NA,0,NA,"bird","None"
"woodcock","Scolopax rusticola","AF","Red",0,NA,"bird","RedBOCC"
"jack snipe","Lymnocryptes minimus","AF",NA,0,NA,"bird","None"
"great snipe","Gallinago media","AF",NA,0,NA,"bird","None"
"snipe","Gallinago gallinago","AF","Amber",0,NA,"bird","AmberBOCC"
"wilson's snipe","Gallinago delicata","A",NA,0,NA,"bird","None"
"terek sandpiper","Xenus cinereus","A",NA,0,NA,"bird","None"
"wilson's phalarope","Phalaropus tricolor","A",NA,0,NA,"bird","None"
"red-necked phalarope","Phalaropus lobatus","AF","Red",1,NA,"bird","Schedule1"
"grey phalarope","Phalaropus fulicarius","AF",NA,0,NA,"bird","None"
"common sandpiper","Actitis hypoleucos","A","Amber",0,NA,"bird","AmberBOCC"
"spotted sandpiper","Actitis macularius","A",NA,0,NA,"bird","None"
"green sandpiper","Tringa ochropus","AF","Amber",1,NA,"bird","Schedule1"
"solitary sandpiper","Tringa solitaria","A",NA,0,NA,"bird","None"
"grey-tailed tattler","Tringa brevipes","A",NA,0,NA,"bird","None"
"lesser yellowlegs","Tringa flavipes","A",NA,0,NA,"bird","None"
"redshank","Tringa totanus","AF","Amber",0,NA,"bird","AmberBOCC"
"marsh sandpiper","Tringa stagnatilis","A",NA,0,NA,"bird","None"
"wood sandpiper","Tringa glareola","A","Amber",1,NA,"bird","Schedule1"
"spotted redshank","Tringa erythropus","AF","Amber",0,NA,"bird","AmberBOCC"
"greenshank","Tringa nebularia","AF","Amber",1,NA,"bird","Schedule1"
"greater yellowlegs","Tringa melanoleuca","A",NA,0,NA,"bird","None"
"cream-coloured courser","Cursorius cursor","A",NA,0,NA,"bird","None"
"collared pratincole","Glareola pratincola","A",NA,0,NA,"bird","None"
"oriental pratincole","Glareola maldivarum","A",NA,0,NA,"bird","None"
"black-winged pratincole","Glareola nordmanni","A",NA,0,NA,"bird","None"
"kittiwake","Rissa tridactyla","AF","Red",0,NA,"bird","RedBOCC"
"ivory gull","Pagophila eburnea","A",NA,0,NA,"bird","None"
"sabine's gull","Xema sabini","A",NA,0,NA,"bird","None"
"slender-billed gull","Chroicocephalus genei","A",NA,0,NA,"bird","None"
"bonaparte's gull","Chroicocephalus philadelphia","A",NA,0,NA,"bird","None"
"black-headed gull","Chroicocephalus ridibundus","AF","Amber",0,NA,"bird","AmberBOCC"
"little gull","Hydrocoloeus minutus","AF",NA,1,NA,"bird","Schedule1"
"ross's gull","Rhodostethia rosea","A",NA,0,NA,"bird","None"
"laughing gull","Leucophaeus atricilla","A",NA,0,NA,"bird","None"
"franklin's gull","Leucophaeus pipixcan","A",NA,0,NA,"bird","None"
"audouin's gull","Ichthyaetus audouinii","A",NA,0,NA,"bird","None"
"mediterranean gull","Ichthyaetus melanocephalus","A","Amber",1,NA,"bird","Schedule1"
"great black-headed gull","Ichthyaetus ichthyaetus","B",NA,0,NA,"bird","None"
"common gull","Larus canus","AF","Amber",0,NA,"bird","AmberBOCC"
"ring-billed gull","Larus delawarensis","A",NA,0,NA,"bird","None"
"great black-backed gull","Larus marinus","AF","Amber",0,NA,"bird","AmberBOCC"
"glaucous-winged gull","Larus glaucescens","A",NA,0,NA,"bird","None"
"glaucous gull","Larus hyperboreus","AF","Amber",0,NA,"bird","AmberBOCC"
"iceland gull","Larus glaucoides","A","Amber",0,NA,"bird","AmberBOCC"
"herring gull","Larus argentatus","AF","Red",0,NA,"bird","RedBOCC"
"american herring gull","Larus smithsonianus","A",NA,0,NA,"bird","None"
"caspian gull","Larus cachinnans","A","Amber",0,NA,"bird","AmberBOCC"
"yellow-legged gull","Larus michahellis","A","Amber",0,NA,"bird","AmberBOCC"
"slaty-backed gull","Larus schistisagus","A",NA,0,NA,"bird","None"
"lesser black-backed gull","Larus fuscus","AF","Amber",0,NA,"bird","AmberBOCC"
"gull-billed tern","Gelochelidon nilotica","A",NA,0,NA,"bird","None"
"caspian tern","Hydroprogne caspia","A",NA,0,NA,"bird","None"
"royal tern","Thalasseus maximus","A",NA,0,NA,"bird","None"
"lesser crested tern","Thalasseus bengalensis","A",NA,0,NA,"bird","None"
"sandwich tern","Thalasseus sandvicensis","AF","Amber",0,NA,"bird","AmberBOCC"
"cabot's tern","Thalasseus acuflavidus","A",NA,0,NA,"bird","None"
"elegant tern","Thalasseus elegans","A",NA,0,NA,"bird","None"
"little tern","Sternula albifrons","A","Amber",1,NA,"bird","Schedule1"
"least tern","Sternula antillarum","A",NA,0,NA,"bird","None"
"aleutian tern","Onychoprion aleuticus","A",NA,0,NA,"bird","None"
"bridled tern","Onychoprion anaethetus","A",NA,0,NA,"bird","None"
"sooty tern","Onychoprion fuscatus","A",NA,0,NA,"bird","None"
"roseate tern","Sterna dougallii","A","Red",1,NA,"bird","Schedule1"
"common tern","Sterna hirundo","AF","Amber",0,NA,"bird","AmberBOCC"
"arctic tern","Sterna paradisaea","A","Amber",0,NA,"bird","AmberBOCC"
"forster's tern","Sterna forsteri","A",NA,0,NA,"bird","None"
"whiskered tern","Chlidonias hybrida","A",NA,0,NA,"bird","None"
"white-winged black tern","Chlidonias leucopterus","A",NA,0,NA,"bird","None"
"black tern","Chlidonias niger","A",NA,1,NA,"bird","Schedule1"
"south polar skua","Stercorarius maccormicki","A",NA,0,NA,"bird","None"
"great skua","Stercorarius skua","AF","Amber",0,NA,"bird","AmberBOCC"
"pomarine skua","Stercorarius pomarinus","AF",NA,0,NA,"bird","None"
"arctic skua","Stercorarius parasiticus","AF","Red",0,NA,"bird","RedBOCC"
"long-tailed skua","Stercorarius longicaudus","AF",NA,0,NA,"bird","None"
"little auk","Alle alle","AF",NA,0,NA,"bird","None"
"brünnich's guillemot","Uria lomvia","A",NA,0,NA,"bird","None"
"common guillemot","Uria aalge","AF","Amber",0,NA,"bird","AmberBOCC"
"razorbill","Alca torda","AF","Amber",0,NA,"bird","AmberBOCC"
"great auk","Pinguinus impennis","BF",NA,0,NA,"bird","None"
"black guillemot","Cepphus grylle","AF","Amber",0,NA,"bird","AmberBOCC"
"long-billed murrelet","Brachyramphus perdix","A",NA,0,NA,"bird","None"
"ancient murrelet","Synthliboramphus antiquus","A",NA,0,NA,"bird","None"
"puffin","Fratercula arctica","AF","Red",0,NA,"bird","RedBOCC"
"tufted puffin","Fratercula cirrhata","A",NA,0,NA,"bird","None"
"red-billed tropicbird","Phaethon aethereus","AE",NA,0,NA,"bird","None"
"red-throated diver","Gavia stellata","AF",NA,1,NA,"bird","Schedule1"
"black-throated diver","Gavia arctica","AF","Amber",1,NA,"bird","Schedule1"
"pacific diver","Gavia pacifica","A",NA,1,NA,"bird","Schedule1"
"great northern diver","Gavia immer","AF","Amber",1,NA,"bird","Schedule1"
"white-billed diver","Gavia adamsii","A",NA,1,NA,"bird","Schedule1"
"wilson's petrel","Oceanites oceanicus","A",NA,0,NA,"bird","None"
"white-faced storm petrel","Pelagodroma marina","B",NA,0,NA,"bird","None"
"black-browed albatross","Thalassarche melanophris","A",NA,0,NA,"bird","None"
"atlantic yellow-nosed albatross","Thalassarche chlororhynchos","A",NA,0,NA,"bird","None"
"storm petrel","Hydrobates pelagicus","AF","Amber",0,NA,"bird","AmberBOCC"
"swinhoe's petrel","Hydrobates monorhis","A",NA,0,NA,"bird","None"
"leach's petrel","Hydrobates leucorhous","AF","Red",1,NA,"bird","Schedule1"
"fulmar","Fulmarus glacialis","AF","Amber",0,NA,"bird","AmberBOCC"
"zino's petrel","Pterodroma madeira","A",NA,0,NA,"bird","None"
"black-capped petrel","Pterodroma hasitata","A",NA,0,NA,"bird","None"
"white-chinned petrel","Procellaria aequinoctialis","A",NA,0,NA,"bird","None"
"scopoli's shearwater","Calonectris diomedea","A",NA,0,NA,"bird","None"
"cory's shearwater","Calonectris borealis","AF",NA,0,NA,"bird","None"
"sooty shearwater","Ardenna grisea","AF",NA,0,NA,"bird","None"
"great shearwater","Ardenna gravis","A",NA,0,NA,"bird","None"
"manx shearwater","Puffinus puffinus","AF","Amber",0,NA,"bird","AmberBOCC"
"yelkouan shearwater","Puffinus yelkouan","A",NA,0,NA,"bird","None"
"balearic shearwater","Puffinus mauretanicus","A","Red",0,NA,"bird","RedBOCC"
"barolo shearwater","Puffinus baroli","A",NA,0,NA,"bird","None"
"black stork","Ciconia nigra","AEF",NA,0,NA,"bird","None"
"white stork","Ciconia ciconia","AEF",NA,0,NA,"bird","None"
"ascension frigatebird","Fregata aquila","A",NA,0,NA,"bird","None"
"magnificent frigatebird","Fregata magnificens","A",NA,0,NA,"bird","None"
"gannet","Morus bassanus","AF","Amber",0,NA,"bird","AmberBOCC"
"red-footed booby","Sula sula","A",NA,0,NA,"bird","None"
"brown booby","Sula leucogaster","A",NA,0,NA,"bird","None"
"cormorant","Phalacrocorax carbo","AF",NA,0,NA,"bird","None"
"shag","Gulosus aristotelis","AF","Red",0,NA,"bird","RedBOCC"
"double-crested cormorant","Nannopterum auritum","AE",NA,0,NA,"bird","None"
"glossy ibis","Plegadis falcinellus","AE",NA,0,NA,"bird","None"
"spoonbill","Platalea leucorodia","AEF","Amber",1,NA,"bird","Schedule1"
"bittern","Botaurus stellaris","AF","Amber",1,NA,"bird","Schedule1"
"american bittern","Botaurus lentiginosus","A",NA,0,NA,"bird","None"
"little bittern","Ixobrychus minutus","A","Amber",1,NA,"bird","Schedule1"
"night-heron","Nycticorax nycticorax","AE*F",NA,0,NA,"bird","None"
"green heron","Butorides virescens","A",NA,0,NA,"bird","None"
"squacco heron","Ardeola ralloides","A",NA,0,NA,"bird","None"
"chinese pond heron","Ardeola bacchus","A",NA,0,NA,"bird","None"
"cattle egret","Bubulcus ibis","AE","Amber",0,NA,"bird","AmberBOCC"
"grey heron","Ardea cinerea","AF",NA,0,NA,"bird","None"
"great blue heron","Ardea herodias","A",NA,0,NA,"bird","None"
"purple heron","Ardea purpurea","A",NA,1,NA,"bird","Schedule1"
"great white egret","Ardea alba","A","Amber",0,NA,"bird","AmberBOCC"
"snowy egret","Egretta thula","A",NA,0,NA,"bird","None"
"little egret","Egretta garzetta","AF",NA,0,NA,"bird","None"
"dalmatian pelican","Pelecanus crispus","AF",NA,0,NA,"bird","None"
"osprey","Pandion haliaetus","AE*F","Amber",1,NA,"bird","Schedule1"
"egyptian vulture","Neophron percnopterus","BDE",NA,0,NA,"bird","None"
"honey-buzzard","Pernis apivorus","A","Amber",1,NA,"bird","Schedule1"
"short-toed eagle","Circaetus gallicus","A",NA,0,NA,"bird","None"
"spotted eagle","Clanga clanga","B",NA,0,NA,"bird","None"
"golden eagle","Aquila chrysaetos","AEF",NA,1,NA,"bird","Schedule1"
"sparrowhawk","Accipiter nisus","AF","Amber",0,NA,"bird","AmberBOCC"
"goshawk","Accipiter gentilis","AC3E*F",NA,1,NA,"bird","Schedule1"
"marsh harrier","Circus aeruginosus","AF","Amber",1,NA,"bird","Schedule1"
"hen harrier","Circus cyaneus","AF","Red",1,NA,"bird","Schedule1"
"northern harrier","Circus hudsonius","A",NA,1,NA,"bird","Schedule1"
"pallid harrier","Circus macrourus","A",NA,1,NA,"bird","Schedule1"
"montagu's harrier","Circus pygargus","AF","Red",1,NA,"bird","Schedule1"
"red kite","Milvus milvus","AC3E*F",NA,1,NA,"bird","Schedule1"
"black kite","Milvus migrans","AE",NA,0,NA,"bird","None"
"white-tailed eagle","Haliaeetus albicilla","AC3E*F","Amber",1,NA,"bird","Schedule1"
"rough-legged buzzard","Buteo lagopus","AEF",NA,0,NA,"bird","None"
"long-legged buzzard","Buteo rufinus","A",NA,0,NA,"bird","None"
"buzzard","Buteo buteo","AE*F",NA,0,NA,"bird","None"
"barn owl","Tyto alba","AE*F",NA,1,NA,"bird","Schedule1"
"tengmalm's owl","Aegolius funereus","AF",NA,0,NA,"bird","None"
"little owl","Athene noctua","C1E*F",NA,0,NA,"bird","None"
"hawk owl","Surnia ulula","AF",NA,0,NA,"bird","None"
"scops owl","Otus scops","A",NA,0,NA,"bird","None"
"long-eared owl","Asio otus","AF",NA,0,NA,"bird","None"
"short-eared owl","Asio flammeus","AF","Amber",0,NA,"bird","AmberBOCC"
"snowy owl","Bubo scandiacus","AEF",NA,1,NA,"bird","Schedule1"
"tawny owl","Strix aluco","AF","Amber",0,NA,"bird","AmberBOCC"
"hoopoe","Upupa epops","AE",NA,1,NA,"bird","Schedule1"
"roller","Coracias garrulus","A",NA,0,NA,"bird","None"
"kingfisher","Alcedo atthis","AF",NA,1,NA,"bird","Schedule1"
"belted kingfisher","Megaceryle alcyon","A",NA,0,NA,"bird","None"
"blue-cheeked bee-eater","Merops persicus","A",NA,0,NA,"bird","None"
"bee-eater","Merops apiaster","A",NA,1,NA,"bird","Schedule1"
"wryneck","Jynx torquilla","AF",NA,1,NA,"bird","Schedule1"
"yellow-bellied sapsucker","Sphyrapicus varius","A",NA,0,NA,"bird","None"
"lesser spotted woodpecker","Dryobates minor","AF","Red",0,NA,"bird","RedBOCC"
"great spotted woodpecker","Dendrocopos major","AF",NA,0,NA,"bird","None"
"green woodpecker","Picus viridis","AF",NA,0,NA,"bird","None"
"lesser kestrel","Falco naumanni","A",NA,0,NA,"bird","None"
"kestrel","Falco tinnunculus","AF","Amber",0,NA,"bird","AmberBOCC"
"american kestrel","Falco sparverius","AE",NA,0,NA,"bird","None"
"red-footed falcon","Falco vespertinus","A",NA,0,NA,"bird","None"
"amur falcon","Falco amurensis","AE",NA,0,NA,"bird","None"
"eleonora's falcon","Falco eleonorae","A",NA,0,NA,"bird","None"
"merlin","Falco columbarius","AF","Red",1,NA,"bird","Schedule1"
"hobby","Falco subbuteo","AF",NA,1,NA,"bird","Schedule1"
"gyr falcon","Falco rusticolus","AEF",NA,1,NA,"bird","Schedule1"
"peregrine","Falco peregrinus","AEF",NA,1,NA,"bird","Schedule1"
"ring-necked parakeet","Psittacula krameri","C1E*",NA,0,NA,"bird","None"
"eastern phoebe","Sayornis phoebe","A",NA,0,NA,"bird","None"
"yellow-bellied flycatcher","Empidonax flaviventris","A",NA,0,NA,"bird","None"
"acadian flycatcher","Empidonax virescens","A",NA,0,NA,"bird","None"
"alder flycatcher","Empidonax alnorum","A",NA,0,NA,"bird","None"
"eastern kingbird","Tyrannus tyrannus","A",NA,0,NA,"bird","None"
"brown shrike","Lanius cristatus","A",NA,0,NA,"bird","None"
"red-backed shrike","Lanius collurio","AF","Red",1,NA,"bird","Schedule1"
"daurian shrike","Lanius isabellinus","A",NA,0,NA,"bird","None"
"turkestan shrike","Lanius phoenicuroides","A",NA,0,NA,"bird","None"
"long-tailed shrike","Lanius schach","A",NA,0,NA,"bird","None"
"lesser grey shrike","Lanius minor","A",NA,0,NA,"bird","None"
"great grey shrike","Lanius excubitor","AEF",NA,0,NA,"bird","None"
"woodchat shrike","Lanius senator","A",NA,0,NA,"bird","None"
"masked shrike","Lanius nubicus","A",NA,0,NA,"bird","None"
"red-eyed vireo","Vireo olivaceus","A",NA,0,NA,"bird","None"
"philadelphia vireo","Vireo philadelphicus","A",NA,0,NA,"bird","None"
"yellow-throated vireo","Vireo flavifrons","A",NA,0,NA,"bird","None"
"golden oriole","Oriolus oriolus","A",NA,1,NA,"bird","Schedule1"
"jay","Garrulus glandarius","AF",NA,0,NA,"bird","None"
"magpie","Pica pica","AF",NA,0,NA,"bird","None"
"nutcracker","Nucifraga caryocatactes","AF",NA,0,NA,"bird","None"
"chough","Pyrrhocorax pyrrhocorax","AE*F",NA,1,NA,"bird","Schedule1"
"jackdaw","Coloeus monedula","AF",NA,0,NA,"bird","None"
"rook","Corvus frugilegus","AF","Amber",0,NA,"bird","AmberBOCC"
"carrion crow","Corvus corone","AF",NA,0,NA,"bird","None"
"hooded crow","Corvus cornix","AF",NA,0,NA,"bird","None"
"raven","Corvus corax","AF",NA,0,NA,"bird","None"
"waxwing","Bombycilla garrulus","AEF",NA,0,NA,"bird","None"
"cedar waxwing","Bombycilla cedrorum","AE",NA,0,NA,"bird","None"
"coal tit","Periparus ater","AF",NA,0,NA,"bird","None"
"crested tit","Lophophanes cristatus","A",NA,1,NA,"bird","Schedule1"
"marsh tit","Poecile palustris","A","Red",0,NA,"bird","RedBOCC"
"willow tit","Poecile montanus","A","Red",0,NA,"bird","RedBOCC"
"blue tit","Cyanistes caeruleus","AF",NA,0,NA,"bird","None"
"great tit","Parus major","AF",NA,0,NA,"bird","None"
"penduline tit","Remiz pendulinus","A",NA,0,NA,"bird","None"
"bearded tit","Panurus biarmicus","A",NA,1,NA,"bird","Schedule1"
"woodlark","Lullula arborea","AF",NA,1,NA,"bird","Schedule1"
"white-winged lark","Alauda leucoptera","A",NA,0,NA,"bird","None"
"skylark","Alauda arvensis","AF","Red",0,NA,"bird","RedBOCC"
"crested lark","Galerida cristata","AEF",NA,0,NA,"bird","None"
"shore lark","Eremophila alpestris","AF","Amber",1,NA,"bird","Schedule1"
"short-toed lark","Calandrella brachydactyla","A",NA,0,NA,"bird","None"
"bimaculated lark","Melanocorypha bimaculata","A",NA,0,NA,"bird","None"
"calandra lark","Melanocorypha calandra","A",NA,0,NA,"bird","None"
"black lark","Melanocorypha yeltoniensis","A",NA,0,NA,"bird","None"
"mediterranean short-toed lark","Alaudala rufescens","A",NA,0,NA,"bird","None"
"sand martin","Riparia riparia","AF",NA,0,NA,"bird","None"
"tree swallow","Tachycineta bicolor","A",NA,0,NA,"bird","None"
"purple martin","Progne subis","A",NA,0,NA,"bird","None"
"crag martin","Ptyonoprogne rupestris","AF",NA,0,NA,"bird","None"
"swallow","Hirundo rustica","AEF",NA,0,NA,"bird","None"
"house martin","Delichon urbicum","AF","Red",0,NA,"bird","RedBOCC"
"red-rumped swallow","Cecropis daurica","A",NA,0,NA,"bird","None"
"american cliff swallow","Petrochelidon pyrrhonota","A",NA,0,NA,"bird","None"
"cetti's warbler","Cettia cetti","A",NA,1,NA,"bird","Schedule1"
"long-tailed tit","Aegithalos caudatus","AF",NA,0,NA,"bird","None"
"wood warbler","Phylloscopus sibilatrix","A","Red",0,NA,"bird","RedBOCC"
"western bonelli's warbler","Phylloscopus bonelli","A",NA,0,NA,"bird","None"
"eastern bonelli's warbler","Phylloscopus orientalis","A",NA,0,NA,"bird","None"
"hume's warbler","Phylloscopus humei","A",NA,0,NA,"bird","None"
"yellow-browed warbler","Phylloscopus inornatus","A","Amber",0,NA,"bird","AmberBOCC"
"pallas's warbler","Phylloscopus proregulus","A",NA,0,NA,"bird","None"
"radde's warbler","Phylloscopus schwarzi","A",NA,0,NA,"bird","None"
"dusky warbler","Phylloscopus fuscatus","A",NA,0,NA,"bird","None"
"willow warbler","Phylloscopus trochilus","A","Amber",0,NA,"bird","AmberBOCC"
"chiffchaff","Phylloscopus collybita","A",NA,0,NA,"bird","None"
"iberian chiffchaff","Phylloscopus ibericus","A",NA,0,NA,"bird","None"
"eastern crowned warbler","Phylloscopus coronatus","A",NA,0,NA,"bird","None"
"green warbler","Phylloscopus nitidus","A",NA,0,NA,"bird","None"
